Site_Name,Site_Long_Name,Site_Longitude,Site_Latitude,Thompson_Vs30,3D_CVM_Vs30,Z1.0,Z2.5
"s071","s071",-118.95498,34.39929,351.9,281.4,950.0,6620.0
"s081","s081",-118.69176,34.79401,384.21,369.2,140.0,1600.0
"s145","s145",-118.54843,34.72848,714.16,647.2,60.0,600.0
"s187","s187",-118.45299,34.68469,716.66,620.3,60.0,470.0
"s228","s228",-118.35766,34.64083,351.93,364.6,120.0,570.0
"s266","s266",-118.26242,34.59689,417.84,417.4,100.0,470.0
"s292","s292",-118.43229,34.15923,280.23,268.3,350.0,1330.0
"s302","s302",-118.16728,34.55287,712.98,487.3,90.0,520.0
"s328","s328",-118.36397,34.07596,352.96,287.3,330.0,2110.0
"s339","s339",-118.07224,34.50878,524.63,496.3,90.0,580.0
"s344","s344",-118.39576,33.93587,377.73,330.6,690.0,4060.0
"s346","s346",-118.34305,34.01462,227.73,241.9,650.0,4180.0
"s348","s348",-118.29024,34.09336,990.45,431.8,310.0,1930.0
"s365","s365",-118.32216,33.95328,363.0,320.0,590.0,3620.0
"s366","s366",-118.29578,33.99265,230.58,212.1,800.0,5220.0
"s378","s378",-117.9773,34.46461,753.57,681.0,50.0,530.0
"s380","s380",-117.92388,34.54319,293.57,307.1,130.0,660.0
"s388","s388",-118.24853,33.97065,228.62,210.0,830.0,5630.0
"s410","s410",-118.20131,33.94864,229.1,209.7,880.0,5660.0
"s424","s424",-117.82897,34.49891,353.49,386.1,120.0,690.0
"s451","s451",-118.15981,33.8259,293.46,311.4,630.0,4690.0
"s453","s453",-118.10694,33.90456,297.57,247.5,810.0,4720.0
"s465","s465",-117.78771,34.37605,783.01,705.2,50.0,520.0
"s467","s467",-117.73417,34.45455,417.98,404.5,120.0,830.0
"s491","s491",-118.06559,33.78178,226.71,211.1,680.0,3770.0
"s493","s493",-118.01267,33.8604,227.31,238.8,730.0,3930.0
"s505","s505",-117.69307,34.33165,721.43,654.2,60.0,570.0
"s507","s507",-117.63946,34.41012,428.84,391.2,130.0,1180.0
"s531","s531",-117.97148,33.73758,227.03,213.0,630.0,4470.0
"s541","s541",-117.70557,34.13027,351.9,344.2,160.0,1100.0
"s545","s545",-117.59853,34.28718,712.01,633.3,70.0,1290.0
"s547","s547",-117.54485,34.36561,351.93,339.5,160.0,1500.0
"s586","s586",-117.50408,34.24264,351.97,393.3,140.0,1450.0
"s588","s588",-117.45035,34.32102,468.06,437.8,120.0,1340.0
"s624","s624",-117.46342,34.11966,351.9,348.3,170.0,620.0
"s647","s647",-117.36259,34.17569,355.22,348.9,310.0,1230.0
"s660","s660",-117.5299,33.83989,390.09,362.0,310.0,670.0
"s666","s666",-117.36923,34.07501,378.09,351.6,170.0,550.0
"s668","s668",-117.31548,34.15333,687.92,534.5,80.0,1190.0
"s689","s689",-117.2684,34.13096,295.32,266.9,200.0,1040.0
"s710","s710",-117.22133,34.10857,293.59,306.4,180.0,680.0
"s731","s731",-117.17429,34.08616,350.57,342.4,170.0,1280.0
"s765","s765",-117.3488,33.64992,332.34684532508254,320.3,100.0,390.0
"s794","s794",-117.11418,33.90151,293.5,301.7,150.0,1080.0
"s795","s795",-117.08726,33.94062,468.29,435.6,130.0,1760.0
"PERR2","Perris",-117.24363,33.78807,710.08,681.7,40.0,250.0
"UCR","UCR",-117.31636,33.96425,709.46,368.1,310.0,450.0
"MRVY","Moreno valley",-117.16828,33.92527,709.86,413.7,120.0,970.0
"GV03","Mt. Marie Louise N Grass Valley 3",-117.23294,34.27648,688.53,617.7,70.0,1360.0
"GV05","Mt. Marie Louise N Grass Valley 5",-117.24477,34.28145,688.4,617.2,70.0,1360.0
"BKBU","Black Butte",-117.72605,34.56202,719.57,561.6,80.0,770.0
"LBUT2","Lovejoy Buttes",-117.81468,34.59237,349.98,490.9,90.0,630.0
"PIBU","Piute Butte 1",-117.85022,34.65307,713.48,645.4,60.0,640.0
"NUEVO","Nuevo 2",-117.15202,33.77602,710.14,680.4,40.0,260.0
"PERRM","Perris Rimrock 1",-117.25333,33.79945,710.07,677.2,40.0,270.0
"MKBD","Mockingbird Van Buren",-117.38617,33.88442,709.84,658.3,50.0,380.0
"GOPH","Gopher Gulch",-117.3596,33.90287,709.85,657.3,50.0,390.0
"GLBT","Gibraltar",-117.38252,33.95727,709.61,363.8,150.0,370.0
"PACI2","Pacifico 1 SG",-118.0498,34.3863,726.15,656.4,60.0,610.0
"PBWL","Punchbowl 1",-117.85763,34.4131,676.1,516.0,80.0,590.0
"LMAT","Lake Mathews Drive",-117.40281,33.80195,709.91,654.2,50.0,420.0
"LPER","Lake Perris N",-117.16344,33.8865,710.0,611.3,60.0,590.0
"ACTN","Acton",-118.18378,34.4613,525.42,491.0,100.0,840.0
